Tidsstempel,pådrag,tank
2026-03-18 11:21:16,30,41.000000
2026-03-18 11:21:18,30,39.000000
2026-03-18 11:21:20,30,40.000000
2026-03-18 11:21:22,30,40.000000
2026-03-18 11:21:24,30,39.000000
2026-03-18 11:21:26,30,38.000000
2026-03-18 11:21:28,30,37.000000
2026-03-18 11:21:30,35,39.000000
2026-03-18 11:21:32,35,39.000000
2026-03-18 11:21:34,35,40.000000
2026-03-18 11:21:36,35,42.000000
2026-03-18 11:21:38,35,42.000000
2026-03-18 11:21:40,35,44.000000
2026-03-18 11:21:42,35,46.000000
2026-03-18 11:21:44,35,46.000000
2026-03-18 11:21:46,35,48.000000
2026-03-18 11:21:48,35,50.000000
2026-03-18 11:21:50,35,51.000000
2026-03-18 11:21:52,35,53.000000
2026-03-18 11:21:54,35,53.000000
2026-03-18 11:21:56,35,52.000000
2026-03-18 11:21:58,35,53.000000
2026-03-18 11:22:00,35,54.000000
2026-03-18 11:22:03,35,55.000000
2026-03-18 11:22:05,35,56.000000
2026-03-18 11:22:07,35,56.000000
2026-03-18 11:22:09,30,57.000000
2026-03-18 11:22:11,30,57.000000
2026-03-18 11:22:13,30,55.000000
2026-03-18 11:22:15,30,57.000000
2026-03-18 11:22:17,30,58.000000
2026-03-18 11:22:19,30,57.000000
2026-03-18 11:22:21,30,57.000000
2026-03-18 11:22:23,30,58.000000
2026-03-18 11:22:25,30,60.000000
2026-03-18 11:22:27,30,59.000000
2026-03-18 11:22:29,30,59.000000
2026-03-18 11:22:31,30,58.000000
2026-03-18 11:22:33,30,59.000000
2026-03-18 11:22:35,30,59.000000
2026-03-18 11:22:37,30,59.000000
2026-03-18 11:22:39,30,60.000000
2026-03-18 11:22:41,30,60.000000
2026-03-18 11:22:43,30,60.000000
2026-03-18 11:22:45,0,60.000000
2026-03-18 11:22:47,0,57.000000
2026-03-18 11:22:50,0,55.000000
2026-03-18 11:22:52,0,54.000000
2026-03-18 11:22:54,0,51.000000
2026-03-18 11:22:56,0,50.000000
2026-03-18 11:22:58,0,48.000000
2026-03-18 11:23:00,0,46.000000
2026-03-18 11:23:02,0,44.000000
2026-03-18 11:23:04,30,41.000000
2026-03-18 11:23:06,30,39.000000
2026-03-18 11:23:08,30,39.000000
2026-03-18 11:23:10,30,39.000000
2026-03-18 11:23:12,30,37.000000
2026-03-18 11:23:14,30,39.000000
2026-03-18 11:23:16,30,39.000000
2026-03-18 11:23:18,30,38.000000
2026-03-18 11:23:20,30,38.000000
2026-03-18 11:23:22,30,39.000000
2026-03-18 11:23:24,30,39.000000
2026-03-18 11:23:26,30,40.000000
2026-03-18 11:23:28,30,38.000000
2026-03-18 11:23:30,30,38.000000
2026-03-18 11:23:32,30,38.000000
2026-03-18 11:23:34,30,39.000000
2026-03-18 11:23:36,30,38.000000
2026-03-18 11:23:38,30,41.000000
2026-03-18 11:23:41,30,39.000000
2026-03-18 11:23:43,30,39.000000
2026-03-18 11:23:45,30,38.000000
2026-03-18 11:23:47,30,40.000000
2026-03-18 11:23:49,30,39.000000
2026-03-18 11:23:51,32,42.000000
2026-03-18 11:23:53,32,38.000000
2026-03-18 11:23:55,32,39.000000
2026-03-18 11:23:57,32,43.000000
2026-03-18 11:23:59,32,39.000000
2026-03-18 11:24:01,32,44.000000
2026-03-18 11:24:03,32,43.000000
2026-03-18 11:24:05,32,44.000000
2026-03-18 11:24:07,32,44.000000
2026-03-18 11:24:09,32,44.000000
2026-03-18 11:24:11,32,43.000000
2026-03-18 11:24:13,32,43.000000
2026-03-18 11:24:15,32,44.000000
2026-03-18 11:24:17,32,44.000000
2026-03-18 11:24:19,32,44.000000
2026-03-18 11:24:21,32,45.000000
2026-03-18 11:24:23,32,47.000000
2026-03-18 11:24:26,32,45.000000
2026-03-18 11:24:28,32,48.000000
2026-03-18 11:24:30,32,46.000000
2026-03-18 11:24:32,32,47.000000
2026-03-18 11:24:34,32,46.000000
2026-03-18 11:24:36,32,47.000000
2026-03-18 11:24:38,32,47.000000
2026-03-18 11:24:40,32,49.000000
2026-03-18 11:24:42,32,48.000000
2026-03-18 11:24:44,32,47.000000
2026-03-18 11:24:46,32,48.000000
2026-03-18 11:24:48,32,47.000000
2026-03-18 11:24:50,32,49.000000
2026-03-18 11:24:52,32,48.000000
2026-03-18 11:24:54,32,48.000000
2026-03-18 11:24:56,32,49.000000
2026-03-18 11:24:58,32,49.000000
2026-03-18 11:25:00,32,50.000000
2026-03-18 11:25:02,32,50.000000
2026-03-18 11:25:04,32,50.000000
2026-03-18 11:25:06,32,49.000000
2026-03-18 11:25:08,32,51.000000
2026-03-18 11:25:10,32,49.000000
2026-03-18 11:25:12,32,52.000000
2026-03-18 11:25:15,32,50.000000
2026-03-18 11:25:17,32,51.000000
2026-03-18 11:25:19,32,52.000000
2026-03-18 11:25:21,32,52.000000
2026-03-18 11:25:23,32,52.000000
2026-03-18 11:25:25,32,52.000000
2026-03-18 11:25:27,32,53.000000
2026-03-18 11:25:29,32,53.000000
2026-03-18 11:25:31,32,52.000000
2026-03-18 11:25:33,32,53.000000
2026-03-18 11:25:35,32,52.000000
2026-03-18 11:25:37,32,54.000000
2026-03-18 11:25:39,32,53.000000
2026-03-18 11:25:41,32,54.000000
2026-03-18 11:25:43,32,53.000000
2026-03-18 11:25:45,32,53.000000
2026-03-18 11:25:47,32,55.000000
2026-03-18 11:25:49,32,54.000000
2026-03-18 11:25:51,32,54.000000
2026-03-18 11:25:53,32,54.000000
2026-03-18 11:25:55,32,53.000000
2026-03-18 11:25:57,32,57.000000
2026-03-18 11:25:59,32,56.000000
2026-03-18 11:26:01,32,55.000000
2026-03-18 11:26:04,32,54.000000
2026-03-18 11:26:06,32,55.000000
2026-03-18 11:26:08,32,55.000000
2026-03-18 11:26:10,32,53.000000
2026-03-18 11:26:12,32,56.000000
2026-03-18 11:26:14,32,55.000000
2026-03-18 11:26:16,32,55.000000
2026-03-18 11:26:18,32,55.000000
2026-03-18 11:26:20,32,56.000000
2026-03-18 11:26:22,32,56.000000
2026-03-18 11:26:24,32,56.000000
2026-03-18 11:26:26,32,56.000000
2026-03-18 11:26:28,32,57.000000
